a,　ア
i,　イ
u,　ウ
e,　エ
o,　オ
ra,　ラ
ri,　リ
ru,　ル
re,　レ
ro,　ロ
ka,　カ
ki,　キ
ku,　ク
ke,　ケ
ko,　コ
sa,　サ
si,　シ
su,　ス
se,　セ
so,　ソ
ta,　タ
ti,　チ
tu,　ツ
te,　テ
to,　ト
na,　ナ
ni,　ニ
nu,　ヌ
ne,　ネ
no,　ノ
ha,　ハ
hi,　ヒ
hu,　フ
he,　ヘ
ho,　ホ
ma,　マ
mi,　ミ
mu,　ム
me,　メ
mo,　モ
ya,　ヤ
yu,　ユ
yo,　ヨ
wa,　ワ
wo,　ヲ
n,　ン
